200.0,24.0,400.0,9.0e+11,5e+24,0.009265225535545225,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,500.0,9.0e+11,1e+24,0.007323705128174506,2166666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,500.0,9.0e+11,1e+25,0.0085491847054445,4616666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,500.0,9.0e+11,5e+23,0.0077921280858244775,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,500.0,9.0e+11,5e+24,0.009820968866961911,4683333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,300.0,9.0e+11,1e+24,0.006409045205177477,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,300.0,9.0e+11,1e+25,0.010015552776156563,4816666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,300.0,9.0e+11,5e+23,0.006381977032696721,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,300.0,9.0e+11,5e+24,0.008006802582904395,3483333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,400.0,9.0e+11,1e+24,0.006818755220601517,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,400.0,9.0e+11,1e+25,0.008580556531940595,4800000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,400.0,9.0e+11,5e+23,0.007281112769748694,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,400.0,9.0e+11,5e+24,0.008716600450734852,1183333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,500.0,9.0e+11,1e+24,0.0074390501311729145,2150000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,500.0,9.0e+11,1e+25,0.010461273258216077,2450000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,500.0,9.0e+11,5e+23,0.008702043484741429,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,25.0,500.0,9.0e+11,5e+24,0.00907928153282549,2366666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,26.0,300.0,9.0e+11,1e+24,0.006882643400192829,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
